Region,Month,Fertilizer_Usage_kg,Crop_Type,Crop_Area_ha,Livestock_Cows,Livestock_Pigs,Household_Energy_kWh,Renewable_Energy_Fraction,Temperature_C,Rainfall_mm,Carbon_Emission_tCO2,Year
R0202,11,196.6,Barley,30.2,51,113,373.3,0.65,7.3,214.5,8.78,2023
R0039,4,178.0,Barley,19.9,53,179,292.6,0.69,32.9,170.2,25.55,2024
R0273,11,124.7,Barley,12.0,2,193,366.8,0.26,16.9,189.1,5.45,2023
R0231,12,140.5,Barley,43.2,95,195,131.9,0.6,32.6,231.4,16.88,2022
R0086,2,84.1,Wheat,28.5,68,91,440.6,0.68,7.3,223.3,7.58,2019
R0126,4,131.6,Rice,47.0,7,74,122.2,0.47,26.5,32.1,7.68,2018
R0300,1,154.2,Maize,41.3,13,66,159.5,0.34,27.1,244.7,5.25,2019
R0025,3,127.3,Rice,36.2,2,167,330.7,0.62,34.9,169.2,4.27,2020
R0145,10,198.5,Maize,5.2,23,4,395.8,0.98,28.1,129.7,6.6,2019
R0013,9,141.7,Rice,24.3,12,115,130.5,0.43,16.5,170.5,11.94,2019
R0212,10,105.6,Wheat,13.9,42,149,468.3,0.39,21.7,191.5,16.59,2022
R0025,5,165.8,Barley,46.0,28,117,489.4,0.46,16.0,61.9,11.72,2022
R0068,11,75.6,Rice,12.9,71,164,342.4,0.08,10.9,136.9,21.51,2022
R0067,6,107.7,Maize,17.9,50,10,292.5,0.55,12.5,114.0,11.31,2023
R0233,3,102.0,Rice,28.3,41,43,396.6,0.33,11.7,118.1,4.76,2020
R0109,5,114.8,Wheat,16.9,30,180,231.3,0.12,21.5,45.6,17.95,2022
R0146,11,167.3,Wheat,14.4,62,76,297.3,0.47,32.2,64.8,16.33,2018
R0111,8,122.6,Rice,32.0,25,117,466.5,0.0,32.4,65.3,24.79,2023
R0228,6,169.1,Barley,9.0,17,115,482.3,0.4,6.6,124.5,20.06,2021
R0111,4,136.5,Maize,7.6,81,188,470.8,0.11,7.4,270.5,24.11,2018
R0034,2,101.3,Wheat,21.8,56,66,205.0,0.02,12.4,77.7,19.64,2024
R0111,9,171.5,Wheat,37.4,6,12,193.0,0.82,12.7,136.5,-9.67,2024
R0264,12,85.7,Rice,30.0,47,91,219.1,0.92,7.8,107.3,16.37,2018
R0236,1,83.7,Wheat,24.0,79,10,276.5,0.21,16.7,240.5,8.67,2022
R0083,1,125.7,Wheat,30.5,59,138,225.7,0.54,22.6,34.0,14.23,2021
R0042,4,89.1,Maize,21.4,32,84,249.7,0.28,22.3,75.0,12.86,2021
R0101,7,51.4,Barley,47.1,2,84,348.3,0.49,21.3,79.0,5.38,2023
R0006,1,147.2,Maize,7.5,3,134,405.0,0.44,15.2,298.0,10.01,2021
R0180,9,126.7,Barley,35.3,99,16,394.2,0.27,26.2,179.8,23.69,2024
R0282,4,116.8,Maize,45.1,3,47,425.8,0.7,29.8,58.9,0.64,2020
R0226,3,195.0,Rice,41.2,41,141,112.9,0.13,15.4,96.2,12.36,2022
R0229,1,135.7,Wheat,13.3,8,190,119.1,0.05,7.6,67.0,23.76,2021
R0289,10,179.5,Barley,18.3,50,191,415.8,0.77,13.9,54.9,16.24,2023
R0150,4,70.9,Rice,37.3,16,96,313.2,0.67,9.1,243.2,16.13,2024
R0277,9,135.4,Wheat,8.8,16,74,331.3,0.5,19.0,158.8,11.11,2020
R0198,10,180.2,Wheat,41.5,96,192,121.0,0.47,9.7,196.7,17.76,2019
R0070,6,137.5,Wheat,37.4,19,161,202.1,0.5,18.9,112.8,16.79,2019
R0112,6,157.7,Maize,37.8,13,136,355.3,0.44,11.6,175.0,7.09,2020
R0004,1,105.8,Rice,9.5,21,76,443.7,0.39,27.2,92.1,7.77,2024
R0095,10,63.9,Rice,37.3,51,127,466.8,0.5,5.8,106.3,11.88,2023
R0152,2,118.7,Wheat,35.6,26,36,300.2,0.53,21.6,202.6,-1.31,2020
R0137,11,109.2,Barley,42.4,42,29,318.2,0.69,10.1,62.1,2.49,2022
R0247,6,180.1,Rice,6.9,2,168,433.2,0.71,5.0,192.8,18.68,2022
R0243,2,86.6,Maize,6.0,87,172,315.0,0.38,31.1,258.6,20.08,2019
R0031,3,195.0,Barley,21.8,93,46,306.7,0.41,25.1,53.7,15.01,2021
R0040,4,193.7,Barley,11.7,7,134,462.0,0.37,8.0,271.3,20.42,2023
R0229,11,87.1,Barley,30.1,85,141,416.0,0.54,24.9,42.2,14.24,2019
R0036,5,102.2,Barley,46.3,88,47,463.6,0.45,23.3,117.7,13.43,2021
R0223,9,184.3,Rice,22.6,9,133,187.3,0.89,19.2,190.9,14.19,2021
R0006,12,195.0,Wheat,43.0,28,33,309.8,0.7,17.6,176.6,5.09,2022
R0220,4,116.5,Barley,5.0,39,100,437.0,0.9,31.6,47.0,0.32,2024
R0075,11,98.1,Maize,12.6,64,45,144.5,0.71,12.4,243.7,-1.66,2018
R0004,9,128.9,Maize,6.4,20,186,417.9,0.97,16.9,292.5,1.53,2024
R0134,11,153.2,Wheat,19.8,23,69,173.2,0.64,14.9,70.7,3.48,2018
R0118,10,91.0,Rice,45.9,72,135,423.2,0.96,28.1,270.6,10.9,2020
R0094,3,160.5,Wheat,9.4,59,23,344.8,0.16,32.5,175.9,9.47,2022
R0062,8,57.7,Barley,32.3,25,66,177.3,0.05,30.5,282.1,20.87,2021
R0194,12,57.4,Rice,25.3,8,3,289.3,0.58,28.9,69.3,-4.07,2023
R0203,1,107.9,Rice,47.2,19,0,372.8,0.98,34.6,241.8,6.19,2018
R0026,11,103.0,Barley,10.5,55,33,353.5,0.42,25.9,36.7,9.91,2024
R0173,9,97.3,Maize,14.5,98,108,270.9,0.21,27.5,267.3,22.91,2021
R0300,9,123.7,Barley,6.3,35,8,459.7,0.52,34.5,208.8,7.84,2018
R0133,10,98.1,Wheat,24.5,35,62,307.7,0.65,5.2,123.7,-4.23,2018
R0118,2,78.8,Barley,17.5,72,9,302.3,0.32,24.0,73.3,10.16,2018
R0275,4,96.4,Maize,44.1,21,137,124.9,0.71,27.2,248.6,10.36,2023
R0212,8,196.2,Barley,32.2,0,177,468.8,0.98,32.5,188.9,-0.38,2022
R0225,7,111.7,Wheat,32.6,68,43,170.8,0.9,31.5,120.9,12.21,2023
R0020,1,116.7,Wheat,28.9,72,117,311.3,0.29,30.3,144.3,25.82,2019
R0113,5,136.5,Maize,9.1,36,175,421.4,0.33,33.4,251.4,2.21,2021
R0140,7,197.5,Wheat,25.0,82,5,186.2,0.37,21.1,114.9,10.77,2022
R0047,4,86.2,Wheat,50.0,71,120,310.9,0.39,5.2,45.1,10.57,2022
R0001,1,152.2,Barley,42.6,95,151,196.3,0.1,5.3,275.2,23.96,2022
R0090,9,157.4,Rice,45.2,12,94,403.9,0.76,21.3,128.5,4.51,2024
R0142,5,141.1,Wheat,42.0,83,110,325.7,0.37,18.1,117.5,15.34,2022
R0038,11,63.3,Wheat,9.6,99,185,442.4,0.88,18.5,77.2,17.09,2023
R0293,2,151.5,Maize,15.2,42,104,457.8,0.93,17.0,271.3,13.18,2022
R0139,8,59.6,Maize,5.1,36,63,359.5,0.02,32.5,80.9,24.88,2020
R0259,11,139.4,Barley,18.7,93,183,390.2,0.99,15.8,198.3,10.79,2021
R0161,2,160.9,Barley,9.9,73,139,319.7,0.71,30.7,266.6,5.25,2022
R0178,3,81.6,Wheat,26.3,94,162,253.8,0.52,32.1,29.8,21.82,2021
R0010,10,176.2,Rice,35.5,24,70,359.2,0.39,20.0,252.1,18.64,2020
R0261,1,54.6,Rice,44.4,92,103,463.3,0.52,18.4,135.0,19.14,2020
R0138,11,176.6,Barley,38.7,87,88,266.7,0.32,27.8,204.2,26.71,2021
R0172,2,119.0,Maize,47.2,20,5,225.8,0.62,26.2,124.3,3.92,2018
R0013,7,82.6,Wheat,7.4,40,192,255.4,0.09,14.9,214.7,14.44,2019
R0168,10,70.1,Wheat,5.5,72,109,274.2,0.62,8.1,91.2,12.55,2024
R0130,2,193.0,Rice,34.8,41,187,129.4,0.28,12.9,26.1,17.6,2018
R0084,6,60.9,Barley,18.0,41,111,299.4,0.02,8.9,285.4,17.9,2018
R0101,3,79.9,Rice,16.4,1,195,297.7,0.55,13.8,24.6,15.18,2023
R0273,4,102.2,Rice,19.9,67,156,335.4,0.58,12.9,250.7,20.3,2024
R0265,11,143.0,Barley,17.1,7,165,245.1,0.43,24.1,67.4,14.51,2024
R0038,8,131.7,Maize,28.0,95,149,345.2,0.07,33.6,129.8,24.94,2018
R0094,3,68.8,Wheat,24.8,60,126,451.3,0.89,25.6,250.3,11.35,2022
R0095,10,93.5,Maize,28.1,13,135,482.2,0.61,32.8,77.7,-2.49,2023
R0069,6,85.8,Barley,35.3,76,62,333.4,0.12,28.5,262.4,17.37,2023
R0236,1,82.0,Barley,22.4,20,140,117.0,0.51,26.8,159.4,11.4,2020
R0137,7,111.7,Wheat,16.3,23,154,487.7,0.5,17.4,122.5,11.68,2024
R0076,8,155.6,Maize,12.5,49,145,382.3,0.06,14.7,205.5,18.58,2018
R0035,11,82.6,Wheat,20.7,81,17,234.4,0.61,30.4,115.6,11.85,2020
R0001,8,105.0,Rice,38.4,44,76,158.9,0.81,32.2,117.2,7.07,2021
R0296,3,108.6,Rice,39.1,63,189,157.4,0.75,18.6,225.4,23.56,2019
R0060,10,196.5,Rice,35.0,63,141,167.1,0.2,5.3,106.8,22.07,2023
R0267,1,193.2,Maize,15.5,25,138,118.2,0.86,28.8,76.2,12.92,2021
R0229,9,170.0,Rice,31.5,31,102,460.9,0.34,13.6,246.1,9.6,2021
R0270,6,86.2,Wheat,30.7,56,116,316.3,0.95,5.3,245.5,12.88,2022
R0286,11,60.2,Maize,26.8,52,16,380.0,0.07,29.1,159.3,12.58,2019
R0291,9,97.5,Wheat,29.7,32,178,431.2,0.49,20.5,167.5,9.73,2021
R0213,7,90.0,Barley,27.1,51,13,416.6,0.6,25.6,214.9,5.29,2021
R0165,1,125.9,Maize,30.4,94,56,453.0,0.25,32.4,162.6,20.52,2019
R0005,12,166.7,Wheat,37.2,17,92,486.9,0.77,21.2,136.8,7.87,2019
R0078,12,178.7,Wheat,9.9,34,133,275.6,0.63,20.1,298.6,14.1,2021
R0062,1,176.7,Maize,38.7,11,113,480.1,0.02,13.7,61.3,17.19,2019
R0132,6,104.0,Barley,11.1,50,184,389.3,0.61,14.2,186.0,18.73,2021
R0089,5,153.1,Maize,8.0,88,131,128.3,0.49,28.9,268.0,24.4,2021
R0237,9,96.9,Rice,48.9,94,138,372.7,0.2,18.5,212.4,25.86,2022
R0042,2,59.1,Rice,48.1,9,108,374.7,1.0,9.9,266.7,-0.54,2018
R0089,8,155.2,Barley,7.7,51,118,462.3,0.9,7.8,114.2,1.34,2021
R0296,11,51.5,Wheat,24.9,33,91,249.2,0.29,19.2,96.2,7.73,2020
R0295,5,111.4,Wheat,13.4,66,10,334.0,0.54,18.9,258.4,17.7,2023
R0104,2,99.4,Wheat,26.8,38,98,104.9,0.32,24.6,130.4,13.48,2024
R0014,10,154.0,Maize,42.4,7,7,232.8,0.78,19.1,218.7,13.76,2018
R0288,11,164.9,Maize,47.8,95,113,124.9,0.93,9.3,61.4,18.0,2018
R0179,11,95.6,Barley,33.5,28,186,308.7,0.36,20.2,231.6,14.15,2018
R0125,12,171.7,Rice,20.9,21,148,427.0,0.81,32.2,173.7,7.5,2022
R0023,6,94.1,Wheat,32.1,83,64,182.6,0.5,9.8,95.2,13.61,2021
R0063,10,116.9,Rice,19.0,69,92,311.0,0.4,25.7,158.5,10.3,2022
R0143,8,159.1,Maize,45.9,60,151,181.6,0.94,22.8,215.1,9.98,2021
R0153,4,153.9,Maize,44.2,42,157,148.3,0.51,27.5,23.3,19.06,2022
R0145,2,198.1,Maize,30.1,48,103,304.4,0.47,9.5,198.5,19.44,2022
R0225,12,83.8,Rice,19.6,28,98,131.7,0.67,33.2,171.6,21.25,2023
R0104,11,149.3,Barley,18.2,80,83,334.9,0.26,23.6,81.7,14.61,2020
R0104,5,141.5,Barley,6.5,30,184,112.5,0.32,30.4,230.8,13.64,2022
R0039,12,187.3,Maize,41.7,52,72,142.7,0.93,12.4,105.0,8.22,2023
R0198,2,73.5,Wheat,25.3,33,144,320.0,0.68,27.2,97.5,15.54,2019
R0134,2,162.8,Rice,19.6,37,58,336.6,0.83,28.4,151.9,9.9,2020
R0067,6,135.2,Maize,26.2,56,30,111.6,0.27,16.9,209.3,6.94,2022
R0179,11,91.2,Rice,41.8,3,63,329.4,0.54,16.5,280.1,0.81,2024
R0042,10,121.2,Rice,10.6,1,47,435.4,0.97,24.7,59.6,1.85,2018
R0015,9,100.1,Barley,43.6,11,22,388.9,0.32,7.8,131.0,8.45,2019
R0111,4,136.9,Maize,45.4,34,197,152.5,0.16,27.1,38.8,22.84,2019
R0157,6,183.4,Barley,47.6,69,157,337.0,0.51,6.3,232.4,14.6,2023
R0289,7,135.4,Maize,22.9,71,54,368.9,0.39,10.7,145.4,3.64,2019
R0231,11,144.8,Rice,14.8,20,6,114.9,0.16,24.9,217.9,2.16,2020
R0157,6,127.8,Barley,21.8,60,111,442.1,0.89,7.9,110.2,11.25,2022
R0038,8,57.7,Rice,20.0,34,105,462.5,0.99,34.2,256.4,12.25,2022
R0097,4,84.9,Maize,12.9,47,97,440.2,0.57,31.1,169.8,6.62,2024
R0289,12,123.8,Wheat,32.3,14,11,429.9,0.77,23.8,284.2,11.79,2018
R0254,1,96.5,Barley,26.4,70,59,398.0,0.86,29.6,42.1,11.06,2023
R0196,7,77.3,Barley,44.0,14,51,353.4,0.7,31.6,164.0,-3.16,2018
R0086,3,125.6,Rice,6.4,5,154,371.5,0.04,12.8,234.6,15.37,2019
R0010,6,98.4,Rice,34.0,80,139,422.6,0.16,30.5,188.0,25.14,2024
R0005,2,88.7,Wheat,39.3,67,140,365.0,0.07,10.8,26.5,8.2,2018
R0123,9,119.6,Barley,39.2,21,71,231.1,0.01,17.4,292.3,15.47,2020
R0118,1,70.0,Maize,44.9,31,189,250.4,0.31,21.7,103.5,22.23,2022
R0294,6,189.2,Maize,37.8,21,124,458.8,0.39,26.4,89.8,15.19,2019
R0159,6,180.2,Barley,46.8,26,156,106.8,0.24,5.9,156.0,16.33,2024
R0228,5,156.1,Barley,20.0,14,162,379.5,0.06,13.7,171.8,15.87,2018
R0216,5,65.9,Barley,27.6,43,59,481.9,0.53,23.3,234.6,5.95,2023
R0184,1,166.4,Wheat,5.6,85,156,382.5,0.27,15.7,130.1,14.75,2020
R0015,10,171.2,Maize,5.3,91,30,497.6,0.8,28.3,143.2,3.88,2020
R0157,12,165.2,Maize,15.8,8,76,375.0,0.01,24.5,169.8,10.25,2018
R0136,5,67.1,Rice,9.5,33,75,113.7,0.84,12.0,130.4,7.71,2022
R0261,2,146.6,Rice,16.7,99,60,430.8,0.95,9.4,276.1,5.91,2018
R0157,7,175.1,Barley,13.0,72,1,213.9,0.72,23.9,258.4,4.58,2019
R0047,3,136.6,Rice,6.3,14,160,278.4,0.73,18.5,147.4,12.93,2018
R0173,4,147.0,Wheat,45.9,61,199,224.8,0.93,10.1,20.1,19.11,2020
R0130,3,118.8,Maize,5.4,44,189,207.4,0.21,14.8,272.3,14.57,2024
R0095,3,129.3,Maize,38.1,83,120,272.6,0.99,14.1,54.8,15.95,2018
R0115,4,55.2,Rice,11.8,71,58,251.5,0.77,8.2,88.5,6.13,2022
R0243,5,145.8,Barley,46.1,57,39,353.3,0.73,21.4,62.7,8.98,2024
R0292,1,62.2,Rice,45.2,91,176,425.3,0.36,27.9,70.3,25.94,2023
R0282,4,115.3,Barley,34.4,18,31,218.8,0.55,22.3,244.8,2.94,2021
R0299,12,93.9,Wheat,35.3,15,37,185.5,0.65,29.8,182.3,-0.63,2018
R0283,12,131.8,Maize,5.2,74,91,366.8,0.62,8.8,287.7,10.97,2022
R0069,11,70.0,Wheat,49.3,7,87,368.1,0.7,18.1,84.8,-1.95,2024
R0148,8,153.7,Maize,44.5,32,140,460.5,0.08,23.3,156.0,17.61,2022
R0011,10,169.3,Wheat,45.3,73,84,106.4,0.36,25.3,293.7,15.66,2023
R0254,7,74.5,Rice,34.7,17,181,441.2,0.43,25.9,251.4,0.38,2020
R0038,9,65.6,Wheat,20.5,34,75,308.4,0.26,26.9,224.0,12.82,2022
R0134,5,71.8,Wheat,45.2,42,127,348.5,0.17,24.5,72.9,15.04,2024
R0200,10,181.6,Rice,18.1,49,12,136.5,0.14,7.8,235.4,16.74,2022
R0023,4,129.2,Maize,30.3,2,38,273.0,0.37,25.9,117.3,6.98,2022
R0218,8,120.1,Maize,9.5,90,22,190.9,0.49,26.7,168.6,15.76,2022
R0141,9,66.0,Rice,46.5,58,109,201.7,0.06,34.8,190.6,22.5,2019
R0104,7,147.4,Wheat,11.3,27,106,301.6,0.95,25.8,190.6,5.27,2019
R0210,7,180.2,Wheat,15.1,45,91,425.0,0.77,25.6,223.4,7.84,2020
R0111,5,174.2,Wheat,30.1,63,141,397.5,0.73,20.4,205.3,5.74,2018
R0104,4,143.9,Barley,39.4,69,144,336.4,0.17,31.0,39.1,26.79,2022
R0171,10,61.3,Maize,32.9,46,23,315.8,0.6,34.9,148.1,5.37,2023
R0133,1,66.9,Wheat,15.4,13,185,270.9,0.53,28.4,205.9,6.03,2018
R0293,10,57.4,Maize,5.0,6,190,489.1,0.98,23.4,102.9,5.71,2023
R0127,10,88.6,Wheat,39.1,73,33,324.1,0.75,7.4,107.7,-2.27,2018
R0106,7,70.3,Rice,49.3,78,178,201.6,0.58,26.8,54.9,16.93,2020
R0092,1,89.0,Rice,41.4,30,111,192.0,0.85,26.3,137.2,13.97,2022
R0287,1,107.8,Maize,25.7,92,137,344.5,0.16,28.3,296.3,19.09,2022
R0051,5,191.4,Maize,45.7,80,117,309.1,0.02,8.7,99.9,19.28,2021
R0029,9,141.6,Rice,23.4,50,199,103.1,0.69,24.6,168.8,15.77,2023
R0296,6,175.2,Barley,28.6,28,148,432.0,0.1,13.9,228.1,8.11,2018
R0297,3,156.6,Rice,26.5,14,164,381.6,0.12,27.8,23.8,20.08,2018
R0214,3,66.9,Wheat,25.1,89,6,364.7,0.74,12.2,272.1,6.73,2019
R0267,7,160.4,Barley,39.9,75,89,127.5,0.27,25.5,128.2,16.03,2021
R0257,6,91.3,Rice,28.7,24,12,244.8,0.63,13.8,263.4,2.74,2024
R0101,9,145.9,Barley,19.3,60,79,474.2,0.92,5.3,30.9,5.56,2024
R0110,6,101.1,Barley,16.6,40,29,445.0,0.32,24.0,60.8,11.75,2019
R0182,5,199.7,Barley,6.7,68,158,214.2,0.22,8.4,110.3,19.5,2019
R0001,10,89.5,Maize,31.2,3,132,162.8,0.11,24.8,116.7,4.53,2019
R0055,7,91.9,Rice,15.3,56,159,279.6,0.13,32.8,257.4,20.74,2023
R0149,1,189.6,Maize,11.7,30,15,242.3,0.06,34.1,23.1,12.61,2023
R0137,12,53.7,Maize,34.4,2,149,372.9,0.09,12.1,199.5,14.19,2020
R0202,7,154.5,Wheat,35.7,66,191,486.6,0.43,29.3,56.8,24.99,2020
R0117,3,158.8,Wheat,38.8,89,171,245.2,0.32,15.6,250.5,22.82,2019
R0154,9,175.5,Barley,27.7,49,39,124.9,0.71,32.0,238.0,15.89,2021
R0291,6,196.2,Barley,45.2,16,36,459.0,0.87,28.6,160.0,9.23,2018
R0063,9,196.3,Wheat,47.1,59,77,115.2,0.78,7.2,79.6,17.4,2023
R0244,5,59.8,Wheat,41.3,73,15,481.1,0.53,17.2,197.7,4.73,2021
R0025,7,173.3,Rice,33.6,65,42,365.8,0.1,15.1,63.8,15.65,2022
R0090,4,146.9,Barley,18.7,87,62,476.7,0.71,28.6,73.2,16.48,2023
R0075,7,147.1,Barley,49.2,74,14,179.9,0.36,17.3,195.5,5.87,2023
R0294,1,69.3,Wheat,17.3,23,171,116.3,0.09,25.5,297.5,11.99,2020
R0210,7,147.5,Rice,14.1,98,136,295.3,0.84,23.1,269.5,14.05,2018
R0017,8,197.4,Wheat,24.9,86,64,280.2,0.34,34.3,186.1,12.61,2018
R0128,5,186.8,Wheat,7.6,31,43,232.6,0.22,33.1,170.8,14.52,2024
R0251,2,115.9,Maize,49.0,86,19,483.1,0.87,17.8,299.5,8.42,2024
R0179,5,56.0,Barley,31.5,97,118,429.0,0.9,26.7,173.3,7.45,2024
R0182,6,104.3,Rice,30.1,18,197,364.6,0.34,29.9,137.6,18.2,2024
R0152,12,174.0,Maize,34.5,65,111,165.1,0.35,32.0,274.7,16.38,2022
R0025,2,155.2,Barley,27.4,59,122,393.7,0.58,7.0,85.6,9.11,2022
R0180,6,118.9,Wheat,6.4,65,160,390.8,0.73,14.1,47.3,8.98,2023
R0198,6,58.3,Rice,32.6,14,79,270.0,0.06,14.6,197.5,12.54,2019
R0161,1,114.0,Barley,37.2,84,99,469.9,0.59,18.0,46.8,18.57,2020
R0177,1,120.4,Wheat,23.8,34,5,166.8,0.95,10.1,124.5,1.73,2020
R0285,11,189.3,Maize,39.1,68,82,206.9,0.26,19.9,138.6,19.82,2024
R0063,10,146.2,Rice,15.2,26,30,125.3,0.91,24.9,173.3,13.53,2023
R0150,3,96.7,Barley,15.0,87,65,418.2,0.95,19.9,297.7,0.6,2021
R0154,10,128.8,Maize,12.3,6,17,348.7,0.27,25.0,81.9,7.08,2019
R0156,10,59.9,Wheat,21.7,5,27,226.0,0.75,7.0,125.2,5.46,2023
R0049,12,195.9,Wheat,43.1,32,67,165.5,0.24,31.3,57.0,12.61,2019
R0084,3,104.0,Barley,42.3,57,192,116.1,0.74,33.2,190.1,24.27,2019
R0177,4,121.7,Wheat,22.2,48,113,166.7,0.8,23.5,223.7,22.65,2019
R0148,2,103.3,Rice,31.5,16,172,281.3,0.25,31.4,155.0,16.26,2023
R0118,9,152.4,Barley,37.4,41,57,198.9,0.72,8.9,88.8,8.39,2024
R0063,10,149.3,Maize,15.9,93,174,203.6,0.81,28.9,193.8,23.75,2020
R0189,12,157.3,Barley,12.6,71,193,450.2,0.36,8.6,171.0,24.38,2020
R0049,11,90.2,Barley,48.7,39,179,306.1,0.17,17.2,67.9,5.99,2024
R0257,7,97.4,Maize,32.8,45,163,391.7,0.09,14.7,133.6,19.08,2019
R0224,7,68.8,Wheat,49.2,70,128,114.3,0.58,22.6,141.9,14.42,2021
R0141,6,148.3,Maize,20.2,69,38,246.1,0.98,14.0,295.1,9.99,2018
R0215,3,56.0,Rice,36.6,67,105,291.7,0.82,24.1,257.8,9.67,2023
R0211,6,139.7,Wheat,15.0,0,0,174.6,0.44,16.0,225.6,2.56,2018
R0032,12,180.5,Barley,16.8,78,74,148.1,0.54,30.8,268.9,10.72,2024
R0158,8,183.6,Wheat,28.0,94,87,448.1,0.28,24.0,225.9,23.21,2021
R0285,8,117.4,Wheat,19.4,88,141,475.8,0.16,11.5,273.0,29.92,2023
R0286,11,118.9,Rice,12.5,96,198,131.5,0.48,15.1,35.3,17.69,2024
R0144,9,61.5,Wheat,16.8,51,150,239.6,0.46,30.4,147.7,6.77,2019
R0019,1,150.6,Wheat,6.6,34,170,483.3,0.52,16.6,229.1,12.64,2020
R0018,1,173.2,Wheat,36.7,68,149,133.3,0.95,21.1,183.3,16.94,2018
R0257,3,86.7,Barley,27.1,4,59,357.5,0.6,24.5,69.0,9.43,2022
R0078,3,113.2,Wheat,9.2,99,154,488.9,0.61,15.4,115.3,10.12,2022
R0175,10,175.8,Maize,12.7,16,183,491.3,0.13,13.8,109.0,15.21,2021
R0194,8,181.6,Wheat,9.6,52,129,288.5,1.0,19.3,93.2,-0.75,2019
R0113,10,86.5,Rice,32.6,51,166,165.1,0.77,11.4,116.1,21.47,2018
R0114,1,132.6,Wheat,9.2,13,178,180.8,0.88,13.5,164.2,11.6,2019
R0222,2,78.9,Wheat,38.9,28,109,455.8,0.41,6.9,259.4,8.41,2018
R0166,2,65.3,Barley,5.9,7,18,464.7,0.5,14.1,227.8,-5.73,2021
R0132,3,186.7,Maize,16.2,97,61,343.2,0.52,14.6,253.9,9.22,2021
R0264,6,173.1,Wheat,45.1,0,70,406.5,0.19,33.9,267.4,13.04,2022
R0055,1,164.0,Maize,37.3,28,194,396.0,0.69,22.7,136.5,7.87,2019
R0131,2,57.3,Rice,8.3,35,190,364.7,0.9,28.6,116.9,8.88,2023
R0288,1,176.6,Barley,42.0,50,110,430.9,0.16,6.4,36.1,28.59,2022
R0266,5,115.7,Maize,27.2,36,132,374.2,0.09,8.2,280.5,14.87,2019
R0162,7,101.4,Barley,43.1,92,71,313.6,0.74,29.4,38.4,8.3,2022
R0087,8,132.0,Wheat,32.0,68,77,194.8,0.27,23.7,227.5,17.17,2023
R0055,10,63.7,Rice,35.7,52,188,397.6,0.62,10.7,125.9,8.11,2020
R0288,1,163.5,Barley,49.7,95,99,289.4,0.7,17.1,285.7,25.62,2020
R0178,7,137.4,Wheat,15.5,51,70,217.9,0.32,21.2,137.5,19.23,2020
R0008,5,78.0,Maize,33.1,87,6,420.8,0.82,30.3,248.7,5.25,2020
R0247,10,78.2,Rice,25.7,82,49,378.7,0.55,6.8,99.1,6.55,2024
R0255,1,77.6,Rice,6.8,11,45,474.9,0.87,22.9,103.7,-4.53,2018
R0054,3,58.6,Maize,5.7,51,71,166.2,0.76,26.5,186.7,6.5,2024
R0249,7,138.2,Maize,10.4,0,75,359.7,0.87,34.3,299.4,3.16,2024
R0239,10,176.1,Rice,34.2,6,73,197.7,0.02,29.2,164.9,16.54,2024
R0229,1,52.6,Barley,30.5,16,141,461.4,0.24,13.3,282.2,7.34,2020
R0067,7,57.4,Rice,29.9,97,72,139.8,0.09,26.3,240.1,22.02,2023
R0051,5,135.9,Maize,6.4,42,101,362.5,0.44,27.9,242.8,14.22,2021
R0097,1,172.9,Barley,26.1,70,93,416.4,0.89,26.9,142.1,6.92,2021
R0092,1,99.0,Wheat,46.6,16,68,242.0,0.47,29.6,128.2,2.88,2018
R0264,1,102.4,Rice,22.9,58,64,481.7,0.85,32.1,73.7,5.31,2020
R0291,11,139.5,Maize,33.1,2,192,440.3,0.33,8.0,289.9,8.99,2020
R0096,9,91.1,Wheat,40.1,28,184,217.8,0.34,8.1,288.6,20.9,2020
R0088,11,54.0,Rice,40.3,21,61,103.0,0.9,28.9,229.2,0.87,2022
R0078,3,160.3,Rice,28.4,37,19,218.7,0.43,12.6,103.0,11.38,2019
R0288,5,143.8,Barley,43.6,53,153,212.5,0.79,6.8,88.7,14.69,2022
R0120,11,137.1,Maize,22.6,92,43,456.0,0.24,17.0,296.8,13.7,2019
R0165,10,161.3,Wheat,45.0,49,194,486.8,0.95,29.6,38.6,10.56,2020
R0182,12,151.3,Rice,15.8,68,197,128.2,0.57,8.8,256.2,24.96,2020
R0223,9,80.9,Barley,17.6,29,61,288.5,0.76,25.2,119.5,-1.21,2022
R0007,6,102.9,Wheat,7.4,22,106,319.3,0.09,5.1,137.3,10.2,2022
R0263,12,68.9,Wheat,40.8,84,124,137.2,0.49,8.3,253.0,13.61,2019
R0161,9,69.5,Rice,23.8,89,44,251.0,0.9,15.5,45.4,9.22,2021
R0151,8,151.4,Wheat,15.3,46,10,226.8,0.88,7.5,119.2,1.75,2019
R0085,8,178.8,Rice,15.4,20,199,314.4,0.05,30.4,286.6,10.13,2022
R0147,1,194.4,Barley,45.6,19,161,364.5,0.3,30.9,215.7,11.21,2023
R0112,9,144.3,Barley,42.5,22,87,381.4,0.44,27.7,231.4,18.53,2022
R0036,6,77.6,Wheat,29.9,67,45,154.7,0.17,12.3,232.1,13.99,2023
R0285,9,65.8,Rice,32.7,20,111,425.2,0.73,20.7,37.0,6.5,2018
R0188,3,171.9,Maize,26.3,20,80,371.4,0.18,10.5,76.9,11.05,2022
